transcript_id	miracidia	sporocyst_48h	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_000020.1	30.70	35.35	46.56	72.05	81.36	57.54	52.50	43.10	46.28	12.94	40.73
Smp_000030.1	132.79	165.67	152.63	231.62	144.94	96.97	105.30	83.04	97.02	5.21	54.05
Smp_000030.2	180.16	220.14	67.48	92.42	157.45	127.41	114.90	97.31	93.06	57.20	95.85
Smp_000030.3	14.36	15.09	78.36	94.95	38.06	18.96	21.96	20.51	23.41	3.82	15.49
Smp_000040.1	39.37	31.93	46.24	111.82	142.51	107.34	106.88	110.21	119.73	44.47	126.38
Smp_000040.2	2.81	1.57	4.10	6.79	7.74	9.74	7.22	9.69	9.87	0.85	3.87
Smp_000050.1	0.28	0.10	0.00	0.00	1.87	0.00	0.48	0.35	0.38	0.66	0.00
Smp_000050.2	2.49	6.63	5.87	46.34	29.17	3.97	3.57	4.01	4.79	0.16	4.62
Smp_000070.1	139.08	200.40	74.29	78.96	106.85	120.79	101.37	116.31	107.36	96.14	99.66
Smp_000075.1	0.00	0.00	0.00	0.25	0.12	0.44	0.04	0.04	0.00	0.00	0.00
Smp_000080.1	0.00	0.05	1.56	11.83	8.99	1.44	1.76	1.24	2.07	1.72	24.08
Smp_000100.1	7.06	14.58	65.58	73.29	26.31	4.56	5.19	26.70	31.15	7.19	38.36
Smp_000100.2	0.41	0.04	2.08	0.40	0.44	8.38	7.32	4.29	3.39	0.10	2.21
Smp_000100.3	6.95	11.04	83.33	53.41	11.37	38.81	44.51	36.35	48.01	1.96	25.25
Smp_000100.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_000100.5	0.83	1.18	3.12	7.03	4.93	17.49	18.75	7.75	8.56	0.30	7.11
Smp_000100.6	0.24	0.10	0.27	0.39	0.25	0.87	0.72	0.51	0.50	0.13	0.36
Smp_000110.1	3.97	4.45	8.31	13.18	14.72	6.21	5.82	5.66	4.63	3.27	3.46
Smp_000130.1	7.33	12.56	26.89	80.03	55.93	27.73	28.89	33.21	38.61	5.12	37.73
Smp_000150.1	45.99	25.70	82.09	145.29	51.83	48.31	48.09	40.18	43.03	19.62	37.23
Smp_000160.1	0.18	0.25	0.31	0.79	2.60	2.15	2.03	1.26	1.46	0.20	1.29
Smp_000180.1	0.23	0.10	0.10	0.19	0.65	10.40	22.44	13.37	22.38	0.56	25.04
Smp_000190.1	1.08	2.04	1.23	4.52	5.36	12.87	6.22	15.05	12.60	11.28	12.24
Smp_000200.1	3.97	3.07	11.26	25.75	12.52	14.36	15.78	17.00	18.45	5.97	14.71
Smp_000230.1	19.09	11.32	36.17	61.80	51.59	22.61	21.80	18.21	18.81	7.39	21.77
